precinct,biden_total,trump_total,total,trump_percent,biden_percent
1001,420.0,107.0,527.0,20.30360531309298,79.69639468690703
1002,307.0,157.0,464.0,33.83620689655172,66.16379310344827
1003,1102.0,268.0,1370.0,19.562043795620436,80.43795620437956
1004,394.0,117.0,511.0,22.89628180039139,77.10371819960861
1005,342.0,100.0,442.0,22.624434389140273,77.37556561085974
1006,859.0,297.0,1156.0,25.692041522491348,74.30795847750865
1007,592.0,185.0,777.0,23.809523809523807,76.19047619047619
1008,1074.0,207.0,1281.0,16.159250585480095,83.8407494145199
1009,692.0,471.0,1163.0,40.49871023215822,59.50128976784179
1010,320.0,74.0,394.0,18.781725888324875,81.21827411167513
1011,201.0,78.0,279.0,27.956989247311824,72.04301075268818
1012,798.0,432.0,1230.0,35.12195121951219,64.8780487804878
1013,1054.0,261.0,1315.0,19.847908745247146,80.15209125475286
1014,517.0,127.0,644.0,19.72049689440994,80.27950310559007
1015,552.0,167.0,719.0,23.226703755215578,76.77329624478443
1016,446.0,139.0,585.0,23.760683760683758,76.23931623931624
1017,86.0,46.0,132.0,34.84848484848485,65.15151515151516
1018,863.0,322.0,1185.0,27.17299578059072,72.82700421940929
1019,305.0,107.0,412.0,25.970873786407765,74.02912621359224
1020,974.0,344.0,1318.0,26.100151745068285,73.89984825493171
1021,660.0,220.0,880.0,25.0,75.0
1022,365.0,123.0,488.0,25.204918032786882,74.79508196721312
1023,943.0,263.0,1206.0,21.807628524046436,78.19237147595356
1024,1292.0,714.0,2006.0,35.59322033898305,64.40677966101694
1025,222.0,68.0,290.0,23.448275862068964,76.55172413793103
1026,451.0,166.0,617.0,26.904376012965965,73.09562398703403
1027,174.0,126.0,300.0,42.0,57.99999999999999
1028,378.0,147.0,525.0,28.000000000000004,72.0
1029,799.0,246.0,1045.0,23.54066985645933,76.45933014354067
1030,23.0,16.0,39.0,41.02564102564102,58.97435897435898
1031,584.0,179.0,763.0,23.46002621231979,76.53997378768021
1032,899.0,232.0,1131.0,20.51282051282051,79.48717948717949
1033,651.0,355.0,1006.0,35.288270377733596,64.7117296222664
1034,1700.0,1370.0,3070.0,44.62540716612378,55.37459283387622
1035,215.0,227.0,442.0,51.35746606334841,48.64253393665158
1036,1329.0,761.0,2090.0,36.411483253588514,63.588516746411486
1037,901.0,364.0,1265.0,28.774703557312254,71.22529644268775
1038,1197.0,624.0,1821.0,34.2668863261944,65.7331136738056
1039,1016.0,345.0,1361.0,25.349008082292436,74.65099191770757
1040,951.0,303.0,1254.0,24.16267942583732,75.83732057416267
1041,792.0,252.0,1044.0,24.137931034482758,75.86206896551724
1042,441.0,169.0,610.0,27.704918032786885,72.29508196721312
1043,605.0,300.0,905.0,33.14917127071823,66.85082872928176
1044,912.0,330.0,1242.0,26.570048309178745,73.42995169082126
1045,1337.0,534.0,1871.0,28.540887226082308,71.45911277391768
1046,821.0,291.0,1112.0,26.169064748201436,73.83093525179856
1047,649.0,228.0,877.0,25.997719498289623,74.00228050171037
1048,866.0,346.0,1212.0,28.54785478547855,71.45214521452145
1049,959.0,395.0,1354.0,29.17282127031019,70.8271787296898
1050,542.0,251.0,793.0,31.651954602774275,68.34804539722572
1051,691.0,420.0,1111.0,37.80378037803781,62.1962196219622
1052,856.0,380.0,1236.0,30.74433656957929,69.25566343042071
1053,88.0,40.0,128.0,31.25,68.75
1054,1028.0,459.0,1487.0,30.867518493611296,69.1324815063887
1055,893.0,486.0,1379.0,35.24292965917331,64.75707034082669
1056,1174.0,729.0,1903.0,38.30793483972675,61.69206516027326
1057,640.0,699.0,1339.0,52.203136669156095,47.79686333084391
1058,780.0,719.0,1499.0,47.96531020680453,52.03468979319547
1059,149.0,91.0,240.0,37.916666666666664,62.083333333333336
1060,1152.0,424.0,1576.0,26.903553299492383,73.09644670050761
1061,970.0,334.0,1304.0,25.61349693251534,74.38650306748467
1062,34.0,63.0,97.0,64.94845360824742,35.051546391752574
1063,560.0,643.0,1203.0,53.44970906068163,46.55029093931837
1064,401.0,309.0,710.0,43.52112676056338,56.47887323943662
1065,709.0,709.0,1418.0,50.0,50.0
